cve_id,pub_year,cwe_category,cvss_base,impact,exploitability,severity,in_kev
CVE-2023-15830,2023,InputValidation,4.7,4.7,7.1,Medium,False
CVE-2020-40608,2020,Other,6.0,3.8,10.0,Medium,False
CVE-2018-57287,2018,Auth,4.1,6.2,3.4,Medium,False
CVE-2022-43427,2022,Crypto,4.1,6.1,6.7,Medium,False
CVE-2019-94042,2019,Memory,6.8,8.4,8.3,Medium,False
CVE-2023-38395,2023,Memory,6.1,5.8,6.9,Medium,False
CVE-2020-27970,2020,Memory,6.7,9.2,7.1,Medium,False
CVE-2022-80218,2022,Other,4.4,4.6,4.1,Medium,False
CVE-2019-86475,2019,Crypto,4.3,5.5,7.0,Medium,False
CVE-2020-84362,2020,Auth,4.5,5.4,5.2,Medium,False
CVE-2023-33371,2023,Memory,2.1,3.4,2.2,Low,False
CVE-2019-99895,2019,Other,6.7,6.3,8.9,Medium,False
CVE-2023-29266,2023,Auth,6.6,7.6,8.7,Medium,False
CVE-2024-29195,2024,Memory,6.1,6.6,6.9,Medium,False
CVE-2023-37315,2023,Memory,6.8,7.1,7.3,Medium,False
CVE-2023-93804,2023,Memory,7.3,7.8,9.0,High,False
CVE-2019-85246,2019,InputValidation,4.5,3.7,6.6,Medium,False
CVE-2020-51581,2020,InputValidation,4.6,5.2,8.2,Medium,False
CVE-2024-55537,2024,InputValidation,5.6,7.2,6.4,Medium,False
CVE-2023-89697,2023,InputValidation,4.8,4.1,8.7,Medium,False
CVE-2023-85265,2023,Crypto,5.1,5.9,7.3,Medium,False
CVE-2023-32184,2023,Memory,4.6,5.0,6.8,Medium,False
CVE-2021-33279,2021,InputValidation,4.0,6.7,4.6,Medium,False
CVE-2018-36570,2018,InputValidation,3.8,5.9,7.2,Low,False
CVE-2023-53030,2023,InputValidation,3.0,3.6,4.7,Low,False
CVE-2023-72245,2023,Auth,6.1,8.2,6.0,Medium,False
CVE-2022-65467,2022,Memory,3.6,5.9,5.2,Low,False
CVE-2024-45133,2024,InputValidation,4.0,4.8,4.5,Medium,False
CVE-2021-88731,2021,Crypto,7.8,5.8,10.0,High,False
CVE-2020-53805,2020,Memory,8.2,8.7,9.6,High,False
CVE-2024-53998,2024,Crypto,6.8,4.0,9.8,Medium,False
CVE-2023-27238,2023,Memory,5.3,7.1,4.7,Medium,False
CVE-2022-91088,2022,Memory,7.0,7.6,7.2,High,False
CVE-2019-78264,2019,Other,3.9,6.0,4.4,Low,False
CVE-2020-58245,2020,Other,3.9,5.3,5.3,Low,False
CVE-2023-33557,2023,Auth,2.5,5.9,5.0,Low,False
CVE-2021-80474,2021,InputValidation,6.4,4.8,8.7,Medium,False
CVE-2024-75667,2024,Memory,6.8,7.1,6.2,Medium,False
CVE-2024-95513,2024,Crypto,4.5,3.9,8.2,Medium,False
CVE-2023-75074,2023,InputValidation,3.4,1.6,6.9,Low,False
CVE-2021-68204,2021,Memory,6.5,7.7,10.0,Medium,False
CVE-2023-35575,2023,InputValidation,5.3,7.4,4.3,Medium,False
CVE-2021-90263,2021,Memory,5.7,3.5,8.5,Medium,False
CVE-2019-86024,2019,Other,3.4,3.5,8.3,Low,False
CVE-2018-30069,2018,InputValidation,5.4,6.9,5.1,Medium,False
CVE-2021-34400,2021,Crypto,6.9,8.6,9.0,Medium,False
CVE-2024-34146,2024,InputValidation,5.6,6.0,7.3,Medium,False
CVE-2020-16846,2020,InputValidation,5.0,4.9,6.1,Medium,False
CVE-2020-50352,2020,InputValidation,4.4,5.7,5.2,Medium,False
CVE-2024-33694,2024,Memory,6.1,9.1,6.0,Medium,False
CVE-2018-31740,2018,Other,5.4,4.0,10.0,Medium,False
CVE-2023-59438,2023,Auth,5.7,5.3,6.6,Medium,False
CVE-2021-40996,2021,Other,5.3,4.3,7.8,Medium,False
CVE-2018-73874,2018,Other,3.8,3.6,4.8,Low,False
CVE-2024-69682,2024,Crypto,3.6,5.7,5.2,Low,False
CVE-2019-54200,2019,Other,6.3,7.4,8.9,Medium,False
CVE-2022-32970,2022,Memory,5.8,7.5,4.6,Medium,False
CVE-2020-20895,2020,Memory,5.3,6.6,6.1,Medium,False
CVE-2018-48071,2018,Memory,6.1,6.6,6.9,Medium,False
CVE-2018-62268,2018,InputValidation,5.6,3.7,6.4,Medium,False
CVE-2019-32258,2019,InputValidation,6.6,7.3,6.6,Medium,False
CVE-2018-98890,2018,InputValidation,5.5,5.9,7.4,Medium,False
CVE-2023-67300,2023,Auth,5.4,6.2,8.0,Medium,False
CVE-2022-71915,2022,InputValidation,5.5,10.0,8.8,Medium,False
CVE-2021-18444,2021,InputValidation,4.7,6.4,5.0,Medium,False
CVE-2021-85147,2021,InputValidation,4.3,4.9,6.0,Medium,False
CVE-2024-86064,2024,Memory,6.5,6.4,8.9,Medium,False
CVE-2024-76535,2024,Auth,6.7,8.2,8.8,Medium,False
CVE-2023-13760,2023,Memory,4.7,7.2,4.5,Medium,False
CVE-2024-46884,2024,Other,2.6,2.8,6.7,Low,False
CVE-2021-97477,2021,Auth,4.1,7.9,3.5,Medium,False
CVE-2021-36022,2021,Memory,5.7,6.0,6.8,Medium,False
CVE-2022-64504,2022,Memory,9.3,9.8,10.0,Critical,True
CVE-2023-53130,2023,Auth,5.6,8.1,5.4,Medium,False
CVE-2022-53881,2022,Auth,4.9,5.8,5.2,Medium,False
CVE-2021-72399,2021,Auth,7.6,8.4,8.6,High,False
CVE-2024-46451,2024,Auth,3.9,6.6,4.0,Low,False
CVE-2024-61413,2024,Memory,6.2,8.3,6.0,Medium,False
CVE-2021-72278,2021,InputValidation,5.4,6.7,7.9,Medium,False
CVE-2023-39639,2023,Memory,5.4,5.7,5.5,Medium,False
CVE-2020-44621,2020,Other,4.3,4.0,5.9,Medium,False
CVE-2019-23079,2019,Crypto,6.4,7.0,8.2,Medium,False
CVE-2021-16895,2021,InputValidation,4.6,5.5,7.4,Medium,False
CVE-2021-62142,2021,Memory,6.2,6.4,7.3,Medium,False
CVE-2018-22552,2018,InputValidation,6.0,4.6,5.8,Medium,False
CVE-2023-58821,2023,InputValidation,5.0,6.6,7.5,Medium,False
CVE-2021-43630,2021,Auth,6.6,9.6,7.2,Medium,False
CVE-2022-80063,2022,Crypto,4.7,3.9,7.1,Medium,False
CVE-2018-22247,2018,Other,5.1,5.0,5.6,Medium,False
CVE-2019-27603,2019,InputValidation,5.7,8.1,6.8,Medium,False
CVE-2024-55564,2024,Memory,2.8,6.9,5.1,Low,False
CVE-2022-10527,2022,Auth,6.9,7.2,6.9,Medium,False
CVE-2024-66521,2024,Auth,4.8,4.9,5.0,Medium,False
CVE-2024-78458,2024,Crypto,3.2,6.1,4.7,Low,False
CVE-2021-15849,2021,Auth,5.0,6.2,7.2,Medium,False
CVE-2020-60314,2020,InputValidation,7.3,7.5,7.4,High,False
CVE-2024-55724,2024,InputValidation,7.7,7.8,8.5,High,False
CVE-2024-27230,2024,InputValidation,7.5,9.9,6.7,High,False
CVE-2023-82495,2023,Memory,6.2,7.9,7.8,Medium,False
CVE-2023-52730,2023,Memory,6.4,7.5,8.0,Medium,False
CVE-2023-95203,2023,Memory,6.0,7.3,7.8,Medium,False
CVE-2021-13323,2021,Crypto,5.1,5.0,5.0,Medium,False
CVE-2022-10445,2022,InputValidation,4.9,6.5,7.1,Medium,False
CVE-2024-92945,2024,InputValidation,4.6,5.6,7.3,Medium,False
CVE-2023-19963,2023,Other,5.7,5.3,6.6,Medium,False
CVE-2018-60511,2018,Memory,5.3,9.0,3.5,Medium,False
CVE-2021-25437,2021,InputValidation,5.7,4.5,6.7,Medium,False
CVE-2019-26855,2019,Auth,6.7,8.2,10.0,Medium,False
CVE-2020-91947,2020,Memory,6.4,9.0,6.6,Medium,False
CVE-2024-20847,2024,Memory,4.4,6.8,5.6,Medium,False
CVE-2018-13236,2018,InputValidation,4.0,2.8,6.7,Medium,False
